RespondentID,GitHubuse,Didyouteachaclasswithaprogrammingcomponentthispastsemester,DidyouimplementGitHubClassroomintheclassroomthispastsemester,RoughlywhatpercentageofQ11islecturebasedlearning,Individualassignmentsdetermineroughlywhatpercentageofstudentsove,Groupassignmentsdetermineroughlywhatpercentageofstudentsoverallg,DidyouuseanysortofversioncontrolsysteminQ11,WhichprogramminglanguagesdidyourstudentsuseinQ11Selectallthatapp,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,WhatyearinschoolwastheaveragestudentinQ11,V45,WasthispastsemesteryourfirsttimeimplementingGitHubinQ11,WasthispastsemestersQ11yourfirsttimeimplementingGitHubintheclass,OnaveragehowfamiliarwereyourstudentswithGitHubatthebeginningofth,OnaveragehowfamiliarareyourstudentswithGitHubnow,HowmuchdidQ11studentsleveloffamiliaritywithGitHubvaryatthebeginn,WhichofthefollowingGitHubfeatureshaveyouusedin Q11Selectallthat,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,Commits,V65,V66,V67,Branches,V69,V70,V71,Mergingbranches,V73,V74,V75,V76,Repositories,V79,V80,V81,V82,V83,Issues,V85,V86,V87,V88,V89,V90,V91,V92,README.md,V94,V95,V96,Pullrequests,V98,V99,V100,V101,Insights,V104,GitHubpages,V106,V107,V108,Gists,V110,UseyourgeneralimpressionofQ11toratetheitemsbelow,V113,RateeachitembelowbasedonyourgeneralimpressionofQ11thispastsemest,V116,V117,V118,Ratehowmuchyourstudentshavelearnedabouteachofthefollowingthrough,V120,V121,Ratehowmuch Q11haspreparedyourstudentsthispastsemesterforeachof,V123,V124,V125,Haveyouprovidedanyfeedbacktoyour Q11studentsthispastsemesterFee,HaveyouusedGitHubtoprovidefeedbacktoQ11studentsthispastsemester,Whattypesoffeedbackhaveyouprovidedtoyour Q11studentsthispastsem,V129,V130,V131,V132,V133,UseyourgeneralimpressionofQ11thispastsemestertoratetheitemsbelow,V135,V136,V137,V138,HavestudentsreceivedfeedbackfrompeersinQ11thispastsemesterPeerfe,HaveQ11studentsusedGitHubtoprovidefeedbacktopeers,UseyourgeneralimpressionofQ11thispastsemestertoratetheitemsbel_A,V142,V143,V144,Describetheamountofsupportstudentsreceivedonaveragefromeachofthe,V146,HoweasyordifficultwasitfortheaveragestudentinQ11tolearnhowtouseG,AbouthowlonghaveyoubeenusingGitHub,TowhatextentdidGitHubmeetyourexpectations,InthefuturewillyoucontinuetoimplementGitHubintheclassroom,Gender,V162,RaceandEthnicitySelectallthatapply,V164,V165,V166,V167,V168,V169
6883799627,1.00,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,,,#NULL!
6883267200,-1.00,1,#NULL!,50,0,50,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,11,,4,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,,,#NULL!
6882566457,-1.00,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,,,#NULL!
6882372052,1.00,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,,,#NULL!
6881968409,-1.00,1,#NULL!,50,90,10,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,11,,1,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,3,3,3,3,2,3,2,3,2,2,3,1,#NULL!,#NULL!,#NULL!,3,4,5,,6,6,5,4,6,1,#NULL!,4,5,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,,,,,,,,7
6881744353,-1.00,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,,,#NULL!
6881468766,1.00,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,,,#NULL!
6880667844,-1.00,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,,,#NULL!
6880667142,-1.00,1,#NULL!,10,50,25,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,7,#NULL!,#NULL!,10,11,Fortran,0,Graduate Student,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,4,4,5,4,2,4,3,4,4,4,4,1,#NULL!,1,#NULL!,3,4,5,,6,6,5,5,5,1,#NULL!,5,6,6,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,,,,,,,,7
6880420074,-1.00,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,,,#NULL!,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,,,#NULL!
