Variable name,Variable description,,,,,,,,,
RespondentID,Respondent ID,,,,,,,,,
GitHubuse,Did you implement GitHub in the classroom this past semester?,Yes (1),No (-1),,,,,,,
Didyouteachaclasswithaprogrammingcomponentthispastsemester,Did you teach a class with a programming component this past semester?,Yes (1),No (2),,,,,,,
DidyouimplementGitHubClassroomintheclassroomthispastsemester,Did you implement GitHub Classroom in the classroom this past semester?,Yes (1),No (2),,,,,,,
RoughlywhatpercentageofQ11islecturebasedlearning,Roughly what percentage of {{ Q11 }} is lecture-based learning?,,,,,,,,,
Individualassignmentsdetermineroughlywhatpercentageofstudentsove,Individual assignments determine roughly what percentage of students' overall grade in {{ Q11 }}?,,,,,,,,,
Groupassignmentsdetermineroughlywhatpercentageofstudentsoverallg,Group assignments determine roughly what percentage of students' overall grade in {{ Q11 }}?,,,,,,,,,
DidyouuseanysortofversioncontrolsysteminQ11,Did you use any sort of version control system in {{ Q11 }}?,Yes (1),No (2),,,,,,,
WhichprogramminglanguagesdidyourstudentsuseinQ11Selectallthatapp,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): JavaScript,,,,,,,,,
V33,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): HTML,,,,,,,,,
V34,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): CSS,,,,,,,,,
V35,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): SQL,,,,,,,,,
V36,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): Java,,,,,,,,,
V37,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): Bash/Shell,,,,,,,,,
V38,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): Python,,,,,,,,,
V39,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): C#,,,,,,,,,
V40,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): PHP,,,,,,,,,
V41,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): C++,,,,,,,,,
V42,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): C,,,,,,,,,
V43,Which programming language(s) did your students use in {{ Q11 }}? (Select all that apply): Other(s) (please specify),,,,,,,,,
WhatyearinschoolwastheaveragestudentinQ11,What year in school was the average student in {{ Q11 }}?,College freshman (1),College sophomore (2),College junior (3),College senior (4),Non-traditional student (5),High school freshman (6),High school sophomore (7),High school junior (8),High school senior (9)
V45,What year in school was the average student in {{ Q11 }}?: Other (please specify),,,,,,,,,
WasthispastsemesteryourfirsttimeimplementingGitHubinQ11,Was this past semester your first time implementing GitHub in {{ Q11 }}?,Yes (1),No (2),,,,,,,
WasthispastsemestersQ11yourfirsttimeimplementingGitHubintheclass,Was this past semester's {{ Q11 }} your first time implementing GitHub in the classroom?,Yes (1),No (2),,,,,,,
OnaveragehowfamiliarwereyourstudentswithGitHubatthebeginningofth,"On average, how familiar were your students with GitHub at the beginning of the semester?",Not at all familiar (1),Slightly familiar (2),Moderately familiar (3),Very familiar (4),Extremely familiar (5),,,,
OnaveragehowfamiliarareyourstudentswithGitHubnow,"On average, how familiar are your students with GitHub now?",Not at all familiar (1),Slightly familiar (2),Moderately familiar (3),Very familiar (4),Extremely familiar (5),,,,
HowmuchdidQ11studentsleveloffamiliaritywithGitHubvaryatthebeginn,How much did {{ Q11 }} students' level of familiarity with GitHub vary at the beginning of the semester?,Not at all (1),Slightly (2),Moderately (3),Very much (4),Extremely (5),,,,
WhichofthefollowingGitHubfeatureshaveyouusedin Q11Selectallthat,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Branches,,,,,,,,,
V52,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Issues,,,,,,,,,
V53,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Labels,,,,,,,,,
V54,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): README.md,,,,,,,,,
V55,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Pull request,,,,,,,,,
V56,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Projects,,,,,,,,,
V57,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Forks,,,,,,,,,
V58,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Stars,,,,,,,,,
V59,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Gists,,,,,,,,,
V60,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Insights,,,,,,,,,
V61,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): GitHub pages,,,,,,,,,
V62,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): None of the above,,,,,,,,,
V63,Which of the following GitHub features have you used in {{ Q11 }}? (Select all that apply): Others (please specify) ,,,,,,,,,
Commits,Commits: Students commit to their own repositories,,,,,,,,,
V65,Commits: Students commit to a group repository,,,,,,,,,
V66,Commits: I comment on individual commits,,,,,,,,,
V67,Commits: I use commits in other way(s) (please specify and explain),,,,,,,,,
Branches,Branches: Students only commit to their master branch,,,,,,,,,
V69,Branches: Students make new branches for each assignment,,,,,,,,,
V70,Branches: Students make multiple branches per assignment,,,,,,,,,
V71,Branches: I use branches in other ways (please specify and explain),,,,,,,,,
Mergingbranches,Merging branches: Students do not merge branches,,,,,,,,,
V73,Merging branches: Students merge their own branches,,,,,,,,,
V74,Merging branches: Students merge each other's branches,,,,,,,,,
V75,Merging branches: I merge student's branches,,,,,,,,,
V76,Merging branches: I use protected branches,,,,,,,,,
Repositories,Repositories: I create individual repositories for students (1 repository per student per assignment),,,,,,,,,
V79,Repositories: I create shared repositories for group work (Multiple students to one repository),,,,,,,,,
V80,Repositories: I use repositories to distribute class information or notes,,,,,,,,,
V81,Repositories: I use repositories to distribute starter code,,,,,,,,,
V82,Repositories: Student create their own repositories,,,,,,,,,
V83,Repositories: Students fork a repository,,,,,,,,,
Issues,Issues: Students use issues for new features,,,,,,,,,
V85,Issues: Students use issues to track bugs,,,,,,,,,
V86,Issues: I create issues for students for feedback (that they have to fix),,,,,,,,,
V87,Issues: Students create issues for each other,,,,,,,,,
V88,Issues: I create labels for my students for bugs,,,,,,,,,
V89,Issues: I create labels for my students for features,,,,,,,,,
V90,Issues: Students create labels for each other,,,,,,,,,
V91,Issues: Students use issues for discussion topics,,,,,,,,,
V92,Issues: Students use issues for reflection/self assessment,,,,,,,,,
README.md,README.md: I require students to make a readme for each project,,,,,,,,,
V94,README.md: I post directions for my students in the readme.md,,,,,,,,,
V95,README.md: I use readme.md for self-assessment on individual repositories,,,,,,,,,
V96,README.md: I use readme.md for peer assessments on group work,,,,,,,,,
Pullrequests,Pull requests: Students make pull requests on their own individual work,,,,,,,,,
V98,Pull requests: Students make pull requests on group projects,,,,,,,,,
V99,Pull requests: I comment on pull requests to group work,,,,,,,,,
V100,Pull requests: I comment on pull requests to individual assignments,,,,,,,,,
V101,Pull requests: Students make pull requests to open source projects,,,,,,,,,
Insights,Insights: Commit frequency affects students' grades in {{ Q11 }},,,,,,,,,
V104,Insights: Participation reported by the insights tab affects students' grades in {{ Q11 }},,,,,,,,,
GitHubpages,GitHub pages: I use GitHub pages for a portfolio site,,,,,,,,,
V106,GitHub pages: I use GitHub pages for assignment(s),,,,,,,,,
V107,GitHub pages: I use GitHub pages for course webpage,,,,,,,,,
V108,GitHub pages: Other (please specify),,,,,,,,,
Gists,Gists: I share snippets in gists,,,,,,,,,
V110,Gists: I use snippets from gists,,,,,,,,,
UseyourgeneralimpressionofQ11toratetheitemsbelow,How much has using GitHub in {{ Q11 }} improved students' learning experience?,Not at all (1),2,3,Neutral (4),5,6,Very much (7),,
V113,How much has using GitHub in {{ Q11 }} worsened students' learning experience?,Not at all (1),2,3,Neutral (4),5,6,Very much (7),,
RateeachitembelowbasedonyourgeneralimpressionofQ11thispastsemest,The average {{ Q11 }} student's level of engagement,Very low (1),Slightly low (2),Neither low nor high (3),Slightly high (4),Very high (5),,,,
V116,The average {{ Q11 }} student's level of participation,Very low (1),Slightly low (2),Neither low nor high (3),Slightly high (4),Very high (5),,,,
V117,The average {{ Q11 }} student's class attendance rate,Very low (1),Slightly low (2),Neither low nor high (3),Slightly high (4),Very high (5),,,,
V118,The average {{ Q11 }} student's level of effort,Very low (1),Slightly low (2),Neither low nor high (3),Slightly high (4),Very high (5),,,,
Ratehowmuchyourstudentshavelearnedabouteachofthefollowingthrough,Rate how much your students have learned about each of the following through {{ Q11 }} this past semester: Teamwork and collaboration,Very little (1),2,3,4,Very much (5),,,,
V120,Rate how much your students have learned about each of the following through {{ Q11 }} this past semester: Popular industry tool(s),Very little (1),2,3,4,Very much (5),,,,
V121,Rate how much your students have learned about each of the following through {{ Q11 }} this past semester: Project management,Very little (1),2,3,4,Very much (5),,,,
Ratehowmuch Q11haspreparedyourstudentsthispastsemesterforeachof,Rate how much {{ Q11 }} has prepared your students this past semester for each of the following: Future internship or career,Very little (1),2,3,4,Very much (5),,,,
