Variable name,Variable description,,,,,,,,,
RespondentID,Respondent ID,,,,,,,,,
Githubuse,Did your instructor(s) this past semester implement GitHub in the classroom?,Yes (1),No (-1),,,,,,,
Didyoutakeaclasswithaprogrammingcomponentthispastsemester,Did you take a class with a programming component this past semester?,Yes (1),No (2),,,,,,,
Yearinschool,Year in school,College freshman (1),College sophomore (2),College junior (3),College senior (4),Non-traditional student (5),High school freshman (6),High school sophomore (7),High school junior (8),High school senior (9)
V17,Year in school: Other (please specify),,,,,,,,,
Roughlywhatpercentageof Q9islecturebasedlearning,Roughly what percentage of {{ Q9 }} is lecture-based learning?,,,,,,,,,
Individualassignmentsdetermineroughlywhatpercentageofyouroverall,Individual assignments determine roughly what percentage of your overall grade in {{ Q9 }}?,,,,,,,,,
Groupassignmentsdetermineroughlywhatpercentageofyouroverallgrade,Individual assignments determine roughly what percentage of your overall grade in {{ Q9 }}?,,,,,,,,,
DidyouuseanysortofversioncontrolsysteminQ9,Did you use any sort of version control system in {{ Q9 }}?,Yes (1),No (2),,,,,,,
WhichprogramminglanguagesdidyouuseinQ9Selectallthatapply,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): JavaScript,,,,,,,,,
V32,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): HTML,,,,,,,,,
V33,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): CSS,,,,,,,,,
V34,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): SQL,,,,,,,,,
V35,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): Java,,,,,,,,,
V36,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): Bash/Shell,,,,,,,,,
V37,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): Python,,,,,,,,,
V38,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): C#,,,,,,,,,
V39,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): PHP,,,,,,,,,
V40,Which programming language(s) did you use in {{ Q9 }}? (Select all that apply): C++,,,,,,,,,
